,source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
38,CAF,CAF,BMP7,BMPR1A_BMPR2,0.00269860729080393,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
39,Endo,CAF,BMP7,BMPR1A_BMPR2,0.00839462713165526,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
40,Macro,CAF,BMP7,BMPR1A_BMPR2,0.00753911898945312,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
41,malignant_cell,CAF,BMP7,BMPR1A_BMPR2,0.00276028610616049,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
42,NK,CAF,BMP7,BMPR1A_BMPR2,0.0144712408363651,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
43,T_cell,CAF,BMP7,BMPR1A_BMPR2,0.0165741173751919,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
44,B_cell,malignant_cell,BMP7,BMPR1B_ACVR2A,0.00430649524391924,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
45,CAF,malignant_cell,BMP7,BMPR1B_ACVR2A,0.000721008237794281,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
46,Endo,malignant_cell,BMP7,BMPR1B_ACVR2A,0.00225435098423109,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
47,Macro,malignant_cell,BMP7,BMPR1B_ACVR2A,0.00202270591418677,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
48,malignant_cell,malignant_cell,BMP7,BMPR1B_ACVR2A,0.000737002291646775,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
49,NK,malignant_cell,BMP7,BMPR1B_ACVR2A,0.00390987473270336,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
50,T_cell,malignant_cell,BMP7,BMPR1B_ACVR2A,0.00448855441623597,0,BMP7_BMPR1B_ACVR2A,BMP7 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
51,B_cell,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00625472988017403,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
52,CAF,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00104883121931225,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
53,Endo,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00327729576439257,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
54,Macro,malignant_cell,BMP7,BMPR1B_ACVR2B,0.0029408765992624,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
55,malignant_cell,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00107218335111439,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
56,NK,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00567980042882072,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
57,T_cell,malignant_cell,BMP7,BMPR1B_ACVR2B,0.00651855162499056,0,BMP7_BMPR1B_ACVR2B,BMP7 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
58,B_cell,malignant_cell,BMP7,BMPR1B_BMPR2,0.0174027336033393,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
59,CAF,malignant_cell,BMP7,BMPR1B_BMPR2,0.00294463008130246,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
60,Endo,malignant_cell,BMP7,BMPR1B_BMPR2,0.00916801475665677,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
61,Macro,malignant_cell,BMP7,BMPR1B_BMPR2,0.00823235791501763,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
62,malignant_cell,malignant_cell,BMP7,BMPR1B_BMPR2,0.00301158927362985,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
63,NK,malignant_cell,BMP7,BMPR1B_BMPR2,0.0158209438663207,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
64,T_cell,malignant_cell,BMP7,BMPR1B_BMPR2,0.0181272268057016,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
65,B_cell,CAF,BMP8A,ACVR1_ACVR2A,0.00811500179682487,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
66,CAF,CAF,BMP8A,ACVR1_ACVR2A,0.00330988354584407,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
67,Endo,CAF,BMP8A,ACVR1_ACVR2A,0.0047976040036989,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
68,Macro,CAF,BMP8A,ACVR1_ACVR2A,0.00567327306328473,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
69,malignant_cell,CAF,BMP8A,ACVR1_ACVR2A,0.00210272068170036,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
70,NK,CAF,BMP8A,ACVR1_ACVR2A,0.0113222836075778,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
71,T_cell,CAF,BMP8A,ACVR1_ACVR2A,0.0084152249316413,0,BMP8A_ACVR1_ACVR2A,BMP8A - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
72,B_cell,CAF,BMP8A,ACVR1_BMPR2,0.014299220977259,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
73,CAF,CAF,BMP8A,ACVR1_BMPR2,0.0058550215347981,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
74,Endo,CAF,BMP8A,ACVR1_BMPR2,0.00848135828114361,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
75,Macro,CAF,BMP8A,ACVR1_BMPR2,0.0100211335120724,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
76,malignant_cell,CAF,BMP8A,ACVR1_BMPR2,0.00372728153843921,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
77,NK,CAF,BMP8A,ACVR1_BMPR2,0.0198894594334318,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
78,T_cell,CAF,BMP8A,ACVR1_BMPR2,0.0148233605125797,0,BMP8A_ACVR1_BMPR2,BMP8A - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
79,B_cell,CAF,BMP8A,BMPR1A_ACVR2A,0.00715012244630667,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
80,CAF,CAF,BMP8A,BMPR1A_ACVR2A,0.00291456786151928,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
81,Endo,CAF,BMP8A,BMPR1A_ACVR2A,0.00422501786491203,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
82,Macro,CAF,BMP8A,BMPR1A_ACVR2A,0.00499681749960673,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
83,malignant_cell,CAF,BMP8A,BMPR1A_ACVR2A,0.0018509906406376,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
84,NK,CAF,BMP8A,BMPR1A_ACVR2A,0.00998084977251237,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
85,T_cell,CAF,BMP8A,BMPR1A_ACVR2A,0.00741502934859802,0,BMP8A_BMPR1A_ACVR2A,BMP8A - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
86,B_cell,CAF,BMP8A,BMPR1A_BMPR2,0.0126110482762278,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
87,CAF,CAF,BMP8A,BMPR1A_BMPR2,0.00515827821483119,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
88,Endo,CAF,BMP8A,BMPR1A_BMPR2,0.00747337677342133,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
89,Macro,CAF,BMP8A,BMPR1A_BMPR2,0.00883214530718788,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
90,malignant_cell,CAF,BMP8A,BMPR1A_BMPR2,0.00328188468224187,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
91,NK,CAF,BMP8A,BMPR1A_BMPR2,0.0175560075892836,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
92,T_cell,CAF,BMP8A,BMPR1A_BMPR2,0.0130744811315476,0,BMP8A_BMPR1A_BMPR2,BMP8A - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
93,B_cell,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00340118703436769,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
94,CAF,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00138253556784491,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
95,Endo,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00200505979019791,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
96,Macro,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00237273226203635,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
97,malignant_cell,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.000876733768474433,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
98,NK,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00475827756967639,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
99,T_cell,malignant_cell,BMP8A,BMPR1B_ACVR2A,0.00352803506961819,0,BMP8A_BMPR1B_ACVR2A,BMP8A - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
100,B_cell,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00494192841119992,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
101,CAF,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00201036202498432,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
102,Endo,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00291522173115865,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
103,Macro,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00344923625140402,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
104,malignant_cell,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00127538104085973,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
105,NK,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00690957662685936,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
106,T_cell,malignant_cell,BMP8A,BMPR1B_ACVR2B,0.00512590617661724,0,BMP8A_BMPR1B_ACVR2B,BMP8A - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
107,B_cell,malignant_cell,BMP8A,BMPR1B_BMPR2,0.013783024109264,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
108,CAF,malignant_cell,BMP8A,BMPR1B_BMPR2,0.005631608857899,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
109,Endo,malignant_cell,BMP8A,BMPR1B_BMPR2,0.00816056506265124,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
110,Macro,malignant_cell,BMP8A,BMPR1B_BMPR2,0.00964646176621343,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
111,malignant_cell,malignant_cell,BMP8A,BMPR1B_BMPR2,0.00358100288775456,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
112,NK,malignant_cell,BMP8A,BMPR1B_BMPR2,0.019203755454363,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
113,T_cell,malignant_cell,BMP8A,BMPR1B_BMPR2,0.0142908175583686,0,BMP8A_BMPR1B_BMPR2,BMP8A - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
114,B_cell,CAF,BMP8B,ACVR1_ACVR2A,0.00138025477051616,0,BMP8B_ACVR1_ACVR2A,BMP8B - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
115,Macro,CAF,BMP8B,ACVR1_ACVR2A,0.000673521489895188,0,BMP8B_ACVR1_ACVR2A,BMP8B - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
116,malignant_cell,CAF,BMP8B,ACVR1_ACVR2A,0.0021706163227869,0,BMP8B_ACVR1_ACVR2A,BMP8B - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
117,NK,CAF,BMP8B,ACVR1_ACVR2A,0.00182102993097099,0,BMP8B_ACVR1_ACVR2A,BMP8B - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
118,T_cell,CAF,BMP8B,ACVR1_ACVR2A,0.00129301508825215,0,BMP8B_ACVR1_ACVR2A,BMP8B - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
119,B_cell,CAF,BMP8B,ACVR1_BMPR2,0.00244839011523238,0,BMP8B_ACVR1_BMPR2,BMP8B - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
120,Macro,CAF,BMP8B,ACVR1_BMPR2,0.00119558190813057,0,BMP8B_ACVR1_BMPR2,BMP8B - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
121,malignant_cell,CAF,BMP8B,ACVR1_BMPR2,0.0038473741411141,0,BMP8B_ACVR1_BMPR2,BMP8B - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
122,NK,CAF,BMP8B,ACVR1_BMPR2,0.00322889881926109,0,BMP8B_ACVR1_BMPR2,BMP8B - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
123,T_cell,CAF,BMP8B,ACVR1_BMPR2,0.00229382580481269,0,BMP8B_ACVR1_BMPR2,BMP8B - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
124,B_cell,CAF,BMP8B,BMPR1A_ACVR2A,0.00121488106115844,0,BMP8B_BMPR1A_ACVR2A,BMP8B - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
