"int_pair","typeA","typeB","clustA","clustB","value"
"BMP2 & BMR1B_AVR2A","L","R","Endo","Macro",0.187
"BMP2 & BMR1B_AVR2A","L","R","Endo","malignant_cell",0.219
"BMP2 & BMR1B_AVR2B","L","R","Endo","Endo",0.154
"BMP2 & BMR1B_AVR2B","L","R","Endo","malignant_cell",0.202
"BMP2 & SMO","L","R","Endo","CAF",0.199
"BMP3 & ACVR_1B2A receptor","L","R","B_cell","CAF",0.156
"BMP3 & ACVR_1B2A receptor","L","R","CAF","CAF",0.117
"BMP3 & ACVR_1B2A receptor","L","R","Endo","CAF",0.116
"BMP3 & ACVR_1B2A receptor","L","R","Macro","CAF",0.123
"BMP3 & ACVR_1B2A receptor","L","R","malignant_cell","CAF",0.11
"BMP3 & ACVR_1B2A receptor","L","R","NK","CAF",0.108
"BMP3 & ACVR_1B2A receptor","L","R","T_cell","CAF",0.141
"BMP3 & ACVR_1B2A receptor","L","R","B_cell","Macro",0.139
"BMP3 & ACVR_1B2A receptor","L","R","CAF","Macro",0.099
"BMP3 & ACVR_1B2A receptor","L","R","Endo","Macro",0.099
"BMP3 & ACVR_1B2A receptor","L","R","Macro","Macro",0.105
"BMP3 & ACVR_1B2A receptor","L","R","malignant_cell","Macro",0.092
"BMP3 & ACVR_1B2A receptor","L","R","NK","Macro",0.09
"BMP3 & ACVR_1B2A receptor","L","R","T_cell","Macro",0.123
"BMP3 & ACVR_1B2A receptor","L","R","B_cell","malignant_cell",0.107
"BMP3 & ACVR_1B2A receptor","L","R","T_cell","malignant_cell",0.091
"BMP4 & BMPR1A_BMPR2","L","R","CAF","CAF",0.281
"BMP4 & BMPR1A_BMPR2","L","R","CAF","malignant_cell",0.242
"BMP4 & BMPR1B_BMPR2","L","R","CAF","CAF",0.204
"BMP4 & BMPR1B_BMPR2","L","R","CAF","malignant_cell",0.319
"BMP4 & BMR1A_ACR2A","L","R","CAF","CAF",0.281
"BMP4 & BMR1A_ACR2A","L","R","CAF","malignant_cell",0.242
"BMP4 & BMR1A_AVR2B","L","R","CAF","Endo",0.176
"BMP4 & BMR1A_AVR2B","L","R","CAF","malignant_cell",0.224
"BMP4 & BMR1B_AVR2A","L","R","CAF","CAF",0.322
"BMP4 & BMR1B_AVR2A","L","R","CAF","Endo",0.262
"BMP4 & BMR1B_AVR2A","L","R","CAF","Macro",0.209
"BMP4 & BMR1B_AVR2A","L","R","CAF","malignant_cell",0.241
"BMP4 & BMR1B_AVR2B","L","R","CAF","Endo",0.176
"BMP4 & BMR1B_AVR2B","L","R","CAF","malignant_cell",0.224
"BMP6 & ACVR_1A2A receptor","L","R","Endo","CAF",0.257
"BMP6 & ACVR_1A2A receptor","L","R","Endo","Endo",0.197
"BMP6 & ACVR_1A2A receptor","L","R","Endo","Macro",0.145
"BMP6 & ACVR_1A2A receptor","L","R","Endo","malignant_cell",0.176
"BMP6 & ACVR_1A2B receptor","L","R","Endo","Endo",0.112
"BMP6 & ACVR_1A2B receptor","L","R","Endo","malignant_cell",0.16
"BMP6 & ACVR1_BMPR2","L","R","Endo","CAF",0.283
"BMP6 & ACVR1_BMPR2","L","R","Endo","Endo",0.144
"BMP6 & ACVR1_BMPR2","L","R","Endo","malignant_cell",0.198
"BMP6 & BMPR1A_BMPR2","L","R","Endo","CAF",0.216
"BMP6 & BMPR1A_BMPR2","L","R","Endo","malignant_cell",0.177
"BMP6 & BMPR1B_BMPR2","L","R","Endo","CAF",0.139
"BMP6 & BMPR1B_BMPR2","L","R","Endo","malignant_cell",0.254
"BMP6 & BMR1A_ACR2A","L","R","Endo","CAF",0.216
"BMP6 & BMR1A_ACR2A","L","R","Endo","malignant_cell",0.177
"BMP6 & BMR1A_AVR2B","L","R","Endo","Endo",0.112
"BMP6 & BMR1A_AVR2B","L","R","Endo","malignant_cell",0.16
"BMP6 & BMR1B_AVR2A","L","R","Endo","CAF",0.257
"BMP6 & BMR1B_AVR2A","L","R","Endo","Endo",0.197
"BMP6 & BMR1B_AVR2A","L","R","Endo","Macro",0.145
"BMP6 & BMR1B_AVR2A","L","R","Endo","malignant_cell",0.176
"BMP6 & BMR1B_AVR2B","L","R","Endo","Endo",0.112
"BMP6 & BMR1B_AVR2B","L","R","Endo","malignant_cell",0.16
"BMP7 & ACVR_1A2A receptor","L","R","B_cell","CAF",0.382
"BMP7 & ACVR_1A2A receptor","L","R","Endo","CAF",0.307
"BMP7 & ACVR_1A2A receptor","L","R","Macro","CAF",0.285
"BMP7 & ACVR_1A2A receptor","L","R","NK","CAF",0.382
"BMP7 & ACVR_1A2A receptor","L","R","T_cell","CAF",0.39
"BMP7 & ACVR_1A2A receptor","L","R","B_cell","Endo",0.322
"BMP7 & ACVR_1A2A receptor","L","R","NK","Endo",0.323
"BMP7 & ACVR_1A2A receptor","L","R","T_cell","Endo",0.33
"BMP7 & ACVR_1A2A receptor","L","R","B_cell","Macro",0.27
"BMP7 & ACVR_1A2A receptor","L","R","NK","Macro",0.27
"BMP7 & ACVR_1A2A receptor","L","R","T_cell","Macro",0.278
"BMP7 & ACVR_1A2A receptor","L","R","B_cell","malignant_cell",0.301
"BMP7 & ACVR_1A2A receptor","L","R","NK","malignant_cell",0.302
"BMP7 & ACVR_1A2A receptor","L","R","T_cell","malignant_cell",0.309
"BMP7 & ACVR_1A2B receptor","L","R","B_cell","Endo",0.237
"BMP7 & ACVR_1A2B receptor","L","R","T_cell","Endo",0.245
"BMP7 & ACVR_1A2B receptor","L","R","B_cell","malignant_cell",0.285
"BMP7 & ACVR_1A2B receptor","L","R","NK","malignant_cell",0.285
"BMP7 & ACVR_1A2B receptor","L","R","T_cell","malignant_cell",0.293
"BMP7 & ACVR1_BMPR2","L","R","B_cell","CAF",0.408
"BMP7 & ACVR1_BMPR2","L","R","CAF","CAF",0.284
"BMP7 & ACVR1_BMPR2","L","R","Endo","CAF",0.333
"BMP7 & ACVR1_BMPR2","L","R","Macro","CAF",0.311
"BMP7 & ACVR1_BMPR2","L","R","malignant_cell","CAF",0.278
"BMP7 & ACVR1_BMPR2","L","R","NK","CAF",0.408
"BMP7 & ACVR1_BMPR2","L","R","T_cell","CAF",0.416
"BMP7 & ACVR1_BMPR2","L","R","B_cell","Endo",0.269
"BMP7 & ACVR1_BMPR2","L","R","T_cell","Endo",0.277
"BMP7 & ACVR1_BMPR2","L","R","B_cell","malignant_cell",0.323
"BMP7 & ACVR1_BMPR2","L","R","NK","malignant_cell",0.324
"BMP7 & ACVR1_BMPR2","L","R","T_cell","malignant_cell",0.331
"BMP7 & BMPR1A_BMPR2","L","R","B_cell","CAF",0.342
"BMP7 & BMPR1A_BMPR2","L","R","NK","CAF",0.342
"BMP7 & BMPR1A_BMPR2","L","R","T_cell","CAF",0.35
"BMP7 & BMPR1A_BMPR2","L","R","B_cell","malignant_cell",0.302
"BMP7 & BMPR1A_BMPR2","L","R","NK","malignant_cell",0.302
"BMP7 & BMPR1A_BMPR2","L","R","T_cell","malignant_cell",0.31
"BMP7 & BMPR1B_BMPR2","L","R","B_cell","CAF",0.264
"BMP7 & BMPR1B_BMPR2","L","R","T_cell","CAF",0.272
"BMP7 & BMPR1B_BMPR2","L","R","B_cell","malignant_cell",0.379
"BMP7 & BMPR1B_BMPR2","L","R","Endo","malignant_cell",0.304
"BMP7 & BMPR1B_BMPR2","L","R","Macro","malignant_cell",0.283
"BMP7 & BMPR1B_BMPR2","L","R","malignant_cell","malignant_cell",0.249
"BMP7 & BMPR1B_BMPR2","L","R","NK","malignant_cell",0.38
"BMP7 & BMPR1B_BMPR2","L","R","T_cell","malignant_cell",0.387
"BMP7 & BMR1A_ACR2A","L","R","B_cell","CAF",0.342
"BMP7 & BMR1A_ACR2A","L","R","NK","CAF",0.342
"BMP7 & BMR1A_ACR2A","L","R","T_cell","CAF",0.35
"BMP7 & BMR1A_ACR2A","L","R","B_cell","malignant_cell",0.302
"BMP7 & BMR1A_ACR2A","L","R","NK","malignant_cell",0.302
"BMP7 & BMR1A_ACR2A","L","R","T_cell","malignant_cell",0.31
"BMP7 & BMR1A_AVR2B","L","R","B_cell","Endo",0.237
"BMP7 & BMR1A_AVR2B","L","R","T_cell","Endo",0.245
"BMP7 & BMR1A_AVR2B","L","R","B_cell","malignant_cell",0.285
"BMP7 & BMR1A_AVR2B","L","R","NK","malignant_cell",0.285
"BMP7 & BMR1A_AVR2B","L","R","T_cell","malignant_cell",0.293
"BMP7 & BMR1B_AVR2A","L","R","B_cell","CAF",0.382
"BMP7 & BMR1B_AVR2A","L","R","Endo","CAF",0.307
"BMP7 & BMR1B_AVR2A","L","R","Macro","CAF",0.285
"BMP7 & BMR1B_AVR2A","L","R","NK","CAF",0.382
"BMP7 & BMR1B_AVR2A","L","R","T_cell","CAF",0.39
"BMP7 & BMR1B_AVR2A","L","R","B_cell","Endo",0.322
"BMP7 & BMR1B_AVR2A","L","R","NK","Endo",0.323
"BMP7 & BMR1B_AVR2A","L","R","T_cell","Endo",0.33
"BMP7 & BMR1B_AVR2A","L","R","B_cell","Macro",0.27
"BMP7 & BMR1B_AVR2A","L","R","NK","Macro",0.27
"BMP7 & BMR1B_AVR2A","L","R","T_cell","Macro",0.278
"BMP7 & BMR1B_AVR2A","L","R","B_cell","malignant_cell",0.301
"BMP7 & BMR1B_AVR2A","L","R","NK","malignant_cell",0.302
"BMP7 & BMR1B_AVR2A","L","R","T_cell","malignant_cell",0.309
"BMP7 & BMR1B_AVR2B","L","R","B_cell","Endo",0.237
"BMP7 & BMR1B_AVR2B","L","R","T_cell","Endo",0.245
"BMP7 & BMR1B_AVR2B","L","R","B_cell","malignant_cell",0.285
"BMP7 & BMR1B_AVR2B","L","R","NK","malignant_cell",0.285
"BMP7 & BMR1B_AVR2B","L","R","T_cell","malignant_cell",0.293
"BMP7 & PTPRK","L","R","B_cell","B_cell",0.338
"BMP7 & PTPRK","L","R","B_cell","CAF",0.367
"BMP7 & PTPRK","L","R","B_cell","Endo",0.471
"BMP7 & PTPRK","L","R","B_cell","malignant_cell",0.319
"BMP7 & PTPRK","L","R","CAF","Endo",0.347
"BMP7 & PTPRK","L","R","Endo","Endo",0.396
"BMP7 & PTPRK","L","R","Macro","Endo",0.374
"BMP7 & PTPRK","L","R","malignant_cell","Endo",0.341
"BMP7 & PTPRK","L","R","NK","B_cell",0.338
"BMP7 & PTPRK","L","R","NK","CAF",0.367
"BMP7 & PTPRK","L","R","NK","Endo",0.471
"BMP7 & PTPRK","L","R","NK","malignant_cell",0.319
"BMP7 & PTPRK","L","R","T_cell","B_cell",0.346
"BMP7 & PTPRK","L","R","T_cell","CAF",0.375
"BMP7 & PTPRK","L","R","T_cell","Endo",0.479
"BMP7 & PTPRK","L","R","T_cell","malignant_cell",0.327
"BMP7 & SLAMF1","L","R","B_cell","B_cell",0.336
"BMP7 & SLAMF1","L","R","B_cell","T_cell",0.38
"BMP7 & SLAMF1","L","R","NK","B_cell",0.337
"BMP7 & SLAMF1","L","R","NK","T_cell",0.38
"BMP7 & SLAMF1","L","R","T_cell","B_cell",0.344
"BMP7 & SLAMF1","L","R","T_cell","T_cell",0.388
"BMP8A & ACVR_1A2A receptor","L","R","B_cell","CAF",0.357
"BMP8A & ACVR_1A2A receptor","L","R","CAF","CAF",0.335
"BMP8A & ACVR_1A2A receptor","L","R","Endo","CAF",0.284
"BMP8A & ACVR_1A2A receptor","L","R","Macro","CAF",0.311
"BMP8A & ACVR_1A2A receptor","L","R","malignant_cell","CAF",0.255
"BMP8A & ACVR_1A2A receptor","L","R","NK","CAF",0.416
"BMP8A & ACVR_1A2A receptor","L","R","T_cell","CAF",0.358
"BMP8A & ACVR_1A2A receptor","L","R","B_cell","Endo",0.297
"BMP8A & ACVR_1A2A receptor","L","R","CAF","Endo",0.275
"BMP8A & ACVR_1A2A receptor","L","R","NK","Endo",0.357
"BMP8A & ACVR_1A2A receptor","L","R","T_cell","Endo",0.298
"BMP8A & ACVR_1A2A receptor","L","R","B_cell","Macro",0.245
"BMP8A & ACVR_1A2A receptor","L","R","NK","Macro",0.304
"BMP8A & ACVR_1A2A receptor","L","R","T_cell","Macro",0.246
"BMP8A & ACVR_1A2A receptor","L","R","B_cell","malignant_cell",0.276
"BMP8A & ACVR_1A2A receptor","L","R","CAF","malignant_cell",0.254
"BMP8A & ACVR_1A2A receptor","L","R","NK","malignant_cell",0.336
"BMP8A & ACVR_1A2A receptor","L","R","T_cell","malignant_cell",0.277
"BMP8A & ACVR_1A2B receptor","L","R","NK","Endo",0.271
"BMP8A & ACVR_1A2B receptor","L","R","B_cell","malignant_cell",0.26
"BMP8A & ACVR_1A2B receptor","L","R","CAF","malignant_cell",0.238
"BMP8A & ACVR_1A2B receptor","L","R","Macro","malignant_cell",0.214
"BMP8A & ACVR_1A2B receptor","L","R","NK","malignant_cell",0.319
"BMP8A & ACVR_1A2B receptor","L","R","T_cell","malignant_cell",0.261
"BMP8A & ACVR1_BMPR2","L","R","B_cell","CAF",0.383
"BMP8A & ACVR1_BMPR2","L","R","CAF","CAF",0.361
"BMP8A & ACVR1_BMPR2","L","R","Endo","CAF",0.31
"BMP8A & ACVR1_BMPR2","L","R","Macro","CAF",0.337
"BMP8A & ACVR1_BMPR2","L","R","malignant_cell","CAF",0.281
"BMP8A & ACVR1_BMPR2","L","R","NK","CAF",0.442
"BMP8A & ACVR1_BMPR2","L","R","T_cell","CAF",0.384
"BMP8A & ACVR1_BMPR2","L","R","NK","Endo",0.304
"BMP8A & ACVR1_BMPR2","L","R","T_cell","Endo",0.245
"BMP8A & ACVR1_BMPR2","L","R","B_cell","malignant_cell",0.298
"BMP8A & ACVR1_BMPR2","L","R","CAF","malignant_cell",0.276
"BMP8A & ACVR1_BMPR2","L","R","Macro","malignant_cell",0.252
"BMP8A & ACVR1_BMPR2","L","R","NK","malignant_cell",0.358
"BMP8A & ACVR1_BMPR2","L","R","T_cell","malignant_cell",0.299
"BMP8A & BMPR1A_BMPR2","L","R","B_cell","CAF",0.317
"BMP8A & BMPR1A_BMPR2","L","R","CAF","CAF",0.294
"BMP8A & BMPR1A_BMPR2","L","R","Macro","CAF",0.271
"BMP8A & BMPR1A_BMPR2","L","R","NK","CAF",0.376
"BMP8A & BMPR1A_BMPR2","L","R","T_cell","CAF",0.318
"BMP8A & BMPR1A_BMPR2","L","R","B_cell","malignant_cell",0.277
"BMP8A & BMPR1A_BMPR2","L","R","CAF","malignant_cell",0.255
"BMP8A & BMPR1A_BMPR2","L","R","Macro","malignant_cell",0.231
"BMP8A & BMPR1A_BMPR2","L","R","NK","malignant_cell",0.336
"BMP8A & BMPR1A_BMPR2","L","R","T_cell","malignant_cell",0.278
"BMP8A & BMPR1B_BMPR2","L","R","NK","CAF",0.299
"BMP8A & BMPR1B_BMPR2","L","R","T_cell","CAF",0.24
"BMP8A & BMPR1B_BMPR2","L","R","B_cell","malignant_cell",0.354
"BMP8A & BMPR1B_BMPR2","L","R","CAF","malignant_cell",0.332
"BMP8A & BMPR1B_BMPR2","L","R","Endo","malignant_cell",0.281
"BMP8A & BMPR1B_BMPR2","L","R","Macro","malignant_cell",0.308
"BMP8A & BMPR1B_BMPR2","L","R","malignant_cell","malignant_cell",0.252
"BMP8A & BMPR1B_BMPR2","L","R","NK","malignant_cell",0.414
"BMP8A & BMPR1B_BMPR2","L","R","T_cell","malignant_cell",0.355
"BMP8A & BMR1A_ACR2A","L","R","B_cell","CAF",0.317
"BMP8A & BMR1A_ACR2A","L","R","CAF","CAF",0.294
"BMP8A & BMR1A_ACR2A","L","R","Macro","CAF",0.271
"BMP8A & BMR1A_ACR2A","L","R","NK","CAF",0.376
"BMP8A & BMR1A_ACR2A","L","R","T_cell","CAF",0.318
"BMP8A & BMR1A_ACR2A","L","R","B_cell","malignant_cell",0.277
"BMP8A & BMR1A_ACR2A","L","R","CAF","malignant_cell",0.255
"BMP8A & BMR1A_ACR2A","L","R","Macro","malignant_cell",0.231
"BMP8A & BMR1A_ACR2A","L","R","NK","malignant_cell",0.336
"BMP8A & BMR1A_ACR2A","L","R","T_cell","malignant_cell",0.278
"BMP8A & BMR1A_AVR2B","L","R","NK","Endo",0.271
"BMP8A & BMR1A_AVR2B","L","R","B_cell","malignant_cell",0.26
"BMP8A & BMR1A_AVR2B","L","R","CAF","malignant_cell",0.238
"BMP8A & BMR1A_AVR2B","L","R","Macro","malignant_cell",0.214
"BMP8A & BMR1A_AVR2B","L","R","NK","malignant_cell",0.319
"BMP8A & BMR1A_AVR2B","L","R","T_cell","malignant_cell",0.261
"BMP8A & BMR1B_AVR2A","L","R","B_cell","CAF",0.357
"BMP8A & BMR1B_AVR2A","L","R","CAF","CAF",0.335
"BMP8A & BMR1B_AVR2A","L","R","Endo","CAF",0.284
"BMP8A & BMR1B_AVR2A","L","R","Macro","CAF",0.311
"BMP8A & BMR1B_AVR2A","L","R","malignant_cell","CAF",0.255
"BMP8A & BMR1B_AVR2A","L","R","NK","CAF",0.416
"BMP8A & BMR1B_AVR2A","L","R","T_cell","CAF",0.358
"BMP8A & BMR1B_AVR2A","L","R","B_cell","Endo",0.297
"BMP8A & BMR1B_AVR2A","L","R","CAF","Endo",0.275
"BMP8A & BMR1B_AVR2A","L","R","NK","Endo",0.357
"BMP8A & BMR1B_AVR2A","L","R","T_cell","Endo",0.298
"BMP8A & BMR1B_AVR2A","L","R","B_cell","Macro",0.245
"BMP8A & BMR1B_AVR2A","L","R","NK","Macro",0.304
"BMP8A & BMR1B_AVR2A","L","R","T_cell","Macro",0.246
"BMP8A & BMR1B_AVR2A","L","R","B_cell","malignant_cell",0.276
"BMP8A & BMR1B_AVR2A","L","R","CAF","malignant_cell",0.254
"BMP8A & BMR1B_AVR2A","L","R","NK","malignant_cell",0.336
"BMP8A & BMR1B_AVR2A","L","R","T_cell","malignant_cell",0.277
"BMP8A & BMR1B_AVR2B","L","R","NK","Endo",0.271
"BMP8A & BMR1B_AVR2B","L","R","B_cell","malignant_cell",0.26
